brand,name,preference_base_note,preference_middle_note,satisfaction,buyer_gender,buyer_age,user_id
GUCCI,Flora,Patchouli,Osmanthus,3,Women,36,161.0
NARCISO RODRIGUEZ,Narciso Rodriguez For Her,Vanilla,EgyptianMusk,5,Women,34,32.0
Paris Hilton,Heiress,VioletLeaf,Grenadine,4,Men,36,314.0
RALPH LAUREN,Polo Blue,Vetiver,BlueOrrisAccord,3,Women,27,137.0
CHLOE,Nomade,Sandalwood,Jasmine,4,Men,33,125.0
Roberto Cavalli,Paradiso Azzurro,Cypress,Peach,3,Women,34,232.0
Dolce & Gabbana,Intenso,Amber,Hay,3,Men,34,317.0
TRI,En Joy,Musk,Rose,3,Men,24,54.0
Marc Jacobs,Daisy Eau So Fresh,Cedarwood,Lychee,3,Women,21,202.0
Ajmal,Sacrifice,Musky,Musky,5,Men,34,33.0
DAVIDOFF,Cool Water,Oakmoss,Sandalwood,5,Men,25,56.0
CHOPARD,1000 Miglia,Coffee,Violet,5,Men,34,177.0
BURBERRY,Body,Vanille,Sandalwood,4,Men,33,344.0
BENTLEY,Momentum Intense,WhiteMusk,TonkaBean,4,Women,35,198.0
CHLOE,Chloe,Amber,CaribbeanMagnolia,3,Women,38,359.0
CAROLINA HERRERA,Good Girl,Cinnamon,OrangeBlossom,3,Women,39,100.0
Niya,Prive Maison Sandalwood,Vanilla,Muguet,4,Men,35,274.0
CHOPARD,Rose Malaki,Patchouli,RoseAbsolu,3,Women,20,325.0
MONTBLANC,Emblem,TonkaBean,VioletLeaf,5,Men,39,381.0
Calvin Klein,CK One,Musk,Nutmeg,5,Men,31,136.0
VERSACE,Eau Fraiche,WoodyNotes,Cedar,5,Men,21,205.0
Dunhill,Desire,Musk,Teakwood,4,Men,25,354.0
DORALL COLLECTION,Oud Arabi,sandalwood,guaiacwood,4,Men,39,115.0
LACOSTE,L.12.12 Blanc-Pure,VirginiaCedar,Ylang-Ylang,3,Men,24,370.0
Aramis,Brown,Oakmoss,Patchouli,5,Women,29,10.0
Givenchy,Blue Label,Olibanum,Pepper,5,Men,37,65.0
LALIQUE,Encre Noire,CashmereWood,HaitianVetiver,3,Men,33,110.0
Dunhill,Desire Blue,,BrazilianRosewood,5,Men,39,392.0
Dolce & Gabbana,L' Imperatrice 3,LemonTree,Watermelon,3,Women,36,393.0
jennifer lopez,Live,Sensual,Violet,4,Men,33,68.0
BURBERRY,London,Musk,Clementine,3,Men,33,292.0
VERSACE,The Dreamer,Cedar,Rose,3,Women,37,255.0
Dunhill,Desire Extreme,Amber,EvergreenCypress,5,Women,38,310.0
jennifer lopez,Still,Musky,OrangeBlossom,5,Men,39,367.0
BURBERRY,Weekend,RoseHipRedCyclamen,Iris,5,Women,30,260.0
Lancome,Idol,WhiteMusk,Jasmine,5,Women,39,190.0
BURBERRY,My Burberry Bl,Patchouli,CandiedRose,5,Men,28,115.0
MONTBLANC,Emblem,WoodyNotes,Cinnamon,5,Men,27,277.0
CAROLINA HERRERA,Good Girl,Praline,Tuberose,4,Women,20,28.0
PACO RABANNE,Black XS,Patchouli,Cinnamon,4,Men,34,165.0
BURBERRY,Burberry Body,Vanilla,Roses,4,Men,36,399.0
Guerlain,L'Instant Magic,Almond,Rose,5,Women,28,213.0
TOMMY HILFIGER,Tommy Hilfiger,CottonFlower,Rose,3,Men,25,215.0
DAVIDOFF,Hot Water,Benzoin,Patchouli,5,Men,37,54.0
AMOUAGE,Interlude,Sandalwood,Opoponax,3,Women,29,243.0
DAVIDOFF,Adventure,Vetiver,SouthAmericanPimento,5,Men,32,37.0
Rasasi,Emotion,Sandalwood,Freesia,3,Men,34,28.0
Estee Lauder,Beautiful,Vetiver,Ylang-Ylang,4,Men,32,2.0
ESCADA,Especially Elixir,Patchouli,Plums,3,Women,22,10.0
Marbert,Man Pure,Cedar,Nutmeg,3,Men,31,192.0
J.CASANOVA,Pandora,Moss,Lily-of-the-valley,5,Women,24,340.0
Dunhill,Custom,Incense,Pepper,3,Men,31,400.0
Dunhill,Custom,Incense,Pepper,3,Men,34,194.0
PACO RABANNE,1 Million,Amber,Cinnamon,4,Women,28,349.0
MINI COLLECTION,Mini Collection No.1075,wood,vanilla,3,Men,33,164.0
J.CASANOVA,Plaisir,Amber,Musk,4,Women,38,284.0
BVLGARI,Rose Essentielle,Patchouli,BlackberryAreSoftenedWithDelicateViolet,4,Women,26,224.0
PACO RABANNE,Black XS,BlackAmber,Cinnamon,4,Men,26,153.0
DORALL COLLECTION,Courageous,Musk,Roses,5,Women,25,241.0
Guerlain,Ideal,Leather,Almond,4,Men,34,363.0
BURBERRY,Mr.Burberry,GuaiacWood,BirchLeaf,5,Men,27,149.0
Roberto Cavalli,Women,Benzoin,OrangeTreeBlossom,4,Women,22,153.0
DORALL COLLECTION,DC Marine Noir,Musk,Water,4,Women,28,399.0
Alrehab,Anfas Aloud,oud,bergamot,4,Women,27,90.0
DAVIDOFF,Cool Water,Amber,Geranium,4,Men,36,81.0
Yves Saint Laurent,Black Opium,CashmereWood,Coffee,3,Men,22,24.0
LA PERLA,Divina,Vanilla,Africanorange,5,Women,34,77.0
UNITED COLORS OF BENETTON,Hot,Amber,Apricot,5,Men,34,331.0
GUCCI,Guilty Pour Homme,Patchouli,AfricanOrangeFlower,4,Women,34,79.0
Fendi,Furiosa,GaïacWood,Gardenia,4,Men,35,191.0
Roberto Cavalli,Uomo,TonkaBean,Honey,4,Men,23,76.0
KORLOFF,In White,TonkaBean,Lavender,4,Women,33,146.0
Jean Paul GAULTIER,Scandal,Patchouli,Honey,4,Women,34,244.0
NINA RICCI,Premier Jour,WoodsyNotes,Orchid,3,Women,25,124.0
Calvin Klein,One Shock,Vanille,Jasmine,3,Men,36,397.0
Mancera,Coco Vanille,MadagascarVanilla,TiareFlower,3,Women,35,115.0
Yves Saint Laurent,Kouros Silver,WoodyNotes,Sage,4,Men,40,285.0
PACO RABANNE,One Million Lucky,amberwood,Cedar,4,Women,31,18.0
DKNY,Be Delicious,WhiteAmber,Apple,3,Men,36,398.0
DORALL COLLECTION,Simple,musk,lilyofthevalley,3,Men,36,97.0
S.T.Dupont,Essence Pure,Cedar,Jasmine,5,Men,25,104.0
Armaf,Club De Nuit Intense,Ambergris,Jasmine,4,Men,23,129.0
Al Fakhr,Ameer Al Oud Khususi,Sandalwood,Cardamom,5,Men,34,135.0
PENHALIGON'S,Portraits George,TonkaBeans,ShavingSoap,5,Men,40,52.0
Givenchy,L'Interdit,Vetiver,OrangeBlossom,4,Women,28,28.0
Calvin Klein,One Shock,Amber,Jasmine,5,Women,35,147.0
CAROLINA HERRERA,212 Sexy,Sandalwood,Gardenia,4,Women,27,191.0
GUESS,By Marciano,Musk,Peony,3,Men,25,53.0
Estee Lauder,Wood Mystique,Raspberry,Mimosa,3,Women,20,396.0
BURBERRY,Brit Rhythm Intense,Coumarin,Mint,3,Men,38,13.0
NINA RICCI,Mademoiselle Ricci,Musk,RoseHip,4,Men,24,166.0
Lattafa,24 Carat Pure Gold,Amber,Rose,4,Women,30,256.0
Lattafa,Rouat Al Oud,Cedarwood,SpicyNotes,5,Men,34,198.0
Lattafa,Oud Mood Gold Elixir,Ambra,Oudwood,4,Men,26,295.0
Mancera,Black Vanilla,VanillaPodsfromMadagascar,Violet,3,Men,28,162.0
BURBERRY,My Burberry Blush,Wisteria,Geranium,4,Women,36,83.0
GIORGIO ARMANI,Si Passione EDP For Wo,Cedar,Rose,5,Men,38,120.0
LOEWE,Esencia Pour Homme,TonkaBean,Jasmine,5,Men,21,128.0
Calvin Klein,Beauty,VirginiaCedar,Jasmine,3,Women,23,372.0
RALPH LAUREN,Safari,cedar,cinnamon,5,Men,39,151.0
Ajmal,Sacrifice,Woody,Floral,4,Women,22,72.0
Jimmy Choo,Man Ice,ambroxan,cedar,4,Women,27,63.0
Dunhill,Desire,Musk,TeakWood,5,Men,25,291.0
HUGO BOSS,Dark Blue,Olibanum,Pelargonium,5,Women,26,308.0
Calvin Klein,Sheer Beauty Essence,Cedar,Magnolia,5,Women,25,4.0
Alina Corel,Monsieur Intense Gold,AmberFat,Saffron,5,Men,33,72.0
Juicy Couture,Viva La Juicy,Praline,Gardenia,3,Men,27,3.0
GIORGIO ARMANI,Si Fiori,Vanilla,Neroli,4,Men,38,311.0
NARCISO RODRIGUEZ,Narciso Rodriguez,Sandalwood,Musk,3,Women,25,119.0
BURBERRY,Brit Rhythm,TonkaBean,Patchouli,3,Women,22,349.0
Dolce & Gabbana,Pour Femme,Marshmallow,OrangeBlossom,3,Men,20,115.0
Calvin Klein,Reveal,Sandalwood,PowderyIris,5,Women,34,356.0
GUCCI,Bloom,RangoonCreeper,Tuberose,4,Men,37,64.0
joop,Homme,Patchouli,Cardamom,4,Men,31,42.0
MONTBLANC,Emblem,TonkaBean,Cinnamon,3,Women,40,346.0
cacharel,Noa,Woodsytransparentwithcoffee,ylang-ylang,5,Women,26,44.0
BURBERRY,Mr. Burberry,Benzoin,Nutmeg,4,Men,39,47.0
Elizabeth Arden,5th Avenue,Amber,Carnation,3,Women,25,359.0
Givenchy,L'Interdit,Ambroxan,Jasmine,3,Women,28,159.0
GUCCI,Guilty Absolute,WoodyNotes,Patchouli,3,Men,22,40.0
VERSACE,Dylan Blue,Frankincense,Patchouli,4,Women,37,389.0
Calvin Klein,Sheer Beauty,Vanille,Peony,3,Men,29,95.0
CHANEL,Allure Homme Sport EDT For,Pepper,Neroli,3,Men,37,229.0
Geoffrey Beene,Grey Flannel,Almond,mimosa,3,Women,22,160.0
PACO RABANNE,1 Million,WoodyNotes,Cinnamon,4,Women,40,51.0
Calvin Klein,CK IN2U,Amber,CacaoPod,4,Women,25,237.0
Calvin Klein,CK Be,Cedar,Peach,4,Men,21,250.0
Genie Collection,Premium,Musk,Jasmine,4,Women,25,55.0
Dior,Sauvage,Ambroxan,Vetiver,3,Women,30,266.0
JAGUAR,Jaguar,Musk,Cinnamon,5,Men,22,344.0
HUGO BOSS,Ma Vie,WoodyNotes,Jasmine,3,Women,36,303.0
DKNY,Be Delicious Red,Amber,Patchouli,5,Women,26,391.0
cacharel,Yes I Am ED,Sandalwood,Jasmine,4,Women,28,209.0
BURBERRY,London,Musk,Peony,3,Women,37,385.0
Parfums De Marly,Pegasus,musk,orangeblossom,5,Women,23,102.0
HUGO BOSS,Boss,Vanilla,Geranium,4,Women,29,321.0
Mancera,Roses Vanille,WhiteMusk,Rose,5,Women,31,309.0
VERSACE,Crystal Noir,Sandalwood,Gardenia,5,Women,25,11.0
PACO RABANNE,1 Million Lucky,Patchouli,Hazelnut,5,Men,29,103.0
PACO RABANNE,Lady Million,Gardenia,ArabicJasmine,3,Men,39,8.0
Roberto Cavalli,Paradiso Assoluto,Patchouli,RedLily,5,Men,31,40.0
PACO RABANNE,Lady Million,Gardenia,ArabicJasmine,5,Men,30,347.0
Calvin Klein,Beauty,VirginiaCedar,Jasmine,5,Women,37,287.0
ESCADA,Magnetism,Sandalwood,Caraway,3,Women,28,62.0
Dolce & Gabbana,The One,Toacco,Ginger,4,Men,23,88.0
Lancome,Idôle ED,Patchouli,Ylang-Ylang,4,Men,26,107.0
GIORGIO ARMANI,Si,Woods,Freesia,4,Men,32,17.0
Calvin Klein,One Shock,Patchouli,Mexicanchocolate,5,Men,21,388.0
GIORGIO ARMANI,Because It's You,Amberwood,Rose,5,Men,36,290.0
JAGUAR,Classic Black,Musk,Nutmeg,3,Men,20,260.0
ARMAND BASI,In Red,Woodynotes,Blackcurrant,4,Men,26,138.0
VERSACE,Versace Pour Homme,Musk,Geranium,3,Men,36,197.0
LALIQUE,Encre Noire,CashmereWood,BourbonVetiver,5,Men,23,42.0
GUCCI,Flora Gorgeous Gardenia,Patchouli,Plumeria,4,Women,36,65.0
Rasasi,Dirham,MassoiaWood,CocaFlower,5,Men,25,358.0
JAGUAR,Vision II,Cedar,SeaNotes,5,Women,24,315.0
DORALL COLLECTION,Lancy,Praline,Iris,5,Men,27,365.0
S.T.Dupont,Dupont,LignumVitae,Iris,4,Men,24,240.0
Dolce & Gabbana,Pour Femme,Heliotrope,Jasmine,4,Men,34,383.0
Mancera,Roses Vanille,Sugar,Rose,5,Women,39,33.0
BURBERRY,Body,Musk,Iris,5,Women,22,104.0
UNITED COLORS OF BENETTON,Cold,Frankincense,Cumin,3,Women,22,312.0
Dolce & Gabbana,The One,Cedar,OrangeBlossom,5,Women,27,177.0
BOUCHERON,Place Vendome,Cedar,Jasmine,3,Women,38,353.0
Calvin Klein,CK One,Amber,Lily-Of-The-ValleyRose,3,Women,36,216.0
TOMMY HILFIGER,Tommy,Amber,Cranberries,4,Women,31,299.0
LALIQUE,Encre Noire,Musk,HaitianVetiver,4,Women,33,336.0
Parfums De Marly,Delina Exclusive,Vanilla,BurningOud,5,Men,24,375.0
VERSACE,Versace Pour Homme,Musk,BlueHyacinth,3,Men,38,80.0
Dunhill,Desire,Musk,TeakWood,5,Women,30,257.0
BURBERRY,London,Patchouli,Peony,3,Men,24,380.0
S.T.Dupont,Essence Pure,Cedar,Jasmine,5,Women,27,232.0
CAROLINA HERRERA,Good Girl,TonkaBean,Tuberose,3,Women,31,144.0
HUGO BOSS,The Scent,Leather,Maninka,3,Women,31,108.0
adidas,Victory League,Vanilla,Pear,3,Men,21,322.0
PACO RABANNE,Paco Rabanne,Oakmoss,Tarragon,3,Men,27,192.0
Pino Silvestre,Pino Silvester Original,Musk,SpicyNotesOfCarnation,5,Women,35,66.0
Remy Marquis,Remy,Sandalwood,Cinnamon,3,Men,24,281.0
Roberto Cavalli,Nero Assoluto,Ebony,Vanilla,3,Women,28,364.0
Calvin Klein,CK One,Cedar,Violet,3,Women,23,92.0
Guerlain,L'instant,Musk,Magnolia,3,Men,27,68.0
ROCHAS,Secret De Rochas,TonkaBean,Jasmine,5,Women,22,389.0
Estee Lauder,Wood Mystique,Benzoin,Rose,4,Men,24,175.0
Givenchy,Play Intense,Patchouli,Coffee,5,Women,35,119.0
Creation Lamis,Above The Law,Amberwood,GuatemalanCardamom,4,Women,25,333.0
Calvin Klein,Intense Euphoria,Labdanum,BlackBasil,4,Men,29,163.0
Mancera,Roses Vanille,Sugar,Sugar,3,Women,23,103.0
Guerlain,Ideal,Vetiver,Almond,4,Men,22,178.0
AMOUAGE,Honour,TonkaBean,Nutmeg,5,Men,33,348.0
Lancome,La Vie Est Belle,Praline,Iris,5,Men,35,22.0
GUCCI,Flora Gorgeous Gardenia,Patchouli,Plumeria,3,Men,23,367.0
DAVIDOFF,Zino,Vanilla,Muguet,5,Men,24,96.0
Guerlain,Samsara,Vanilla,Violet,3,Men,25,48.0
Roberto Cavalli,Florence Amber,Patchouli,Gardenia,4,Women,20,77.0
BURBERRY,Touch,Vanilla,Peony,3,Women,31,187.0
Yves Saint Laurent,Kouros Silver,Amber,Sage,3,Women,27,278.0
joop,Homme,tonkabean,Jasmine,3,Women,23,197.0
Fendi,Furiosa,GaïacWood,Gardenia,3,Women,21,70.0
CHOPARD,Wish,VanillaBean,Jasmine,3,Women,40,244.0
UNITED COLORS OF BENETTON,Cold,Vetiver,Geranium,5,Women,28,240.0
DORALL COLLECTION,Eventful,Musk,Rose,5,Women,32,77.0
LOEWE,Esencia,Sandalwood,Pepper,4,Men,35,237.0
Calvin Klein,CK Be,Sandalwood,Peach,3,Women,33,58.0
Roberto Cavalli,Nero Assoluto,Ebony,Vanilla,3,Men,31,235.0
NARCISO RODRIGUEZ,Narciso Rouge,TonkaBeans,Musk,3,Men,35,232.0
LALIQUE,Le'Parfum,Sandalwood,Heliotrope,3,Men,31,269.0
Revlon,Charlie Blue,AMixOfSandalwood,Rose,4,Men,21,220.0
BURBERRY,My Burberry Blush,Jasmine,Rosepetals,3,Women,33,58.0
Jean Paul GAULTIER,Scandal,Musk,Jasmine,3,Men,35,248.0
Estee Lauder,Beautiful,Vetiver,Ylang-Ylang,4,Men,33,305.0
MONTBLANC,Emblem Intense,Velvet,Nutmeg,4,Men,36,240.0
Lattafa,Sheikh Al Shuyukh,Patchouli,Rosemary,5,Women,33,10.0
GIORGIO ARMANI,Si Passione EDP For Wo,Patchouli,Pineapple,4,Men,29,384.0
Guerlain,Mon Bloom Of Rose,Neroli,SambacJasmine,3,Men,27,388.0
AZZARO,Chrome Legend,Cedar,Musk,3,Men,40,348.0
Lancome,La Vie Est Belle,Vanilla,OrangeBlossom,3,Men,26,99.0
Rasasi,Al Wisam Day,OakMoss,MilkySandalwood,4,Men,25,139.0
ANGEL SCHLESSER,Essential,Musk,Peony,4,Women,29,297.0
Dolce & Gabbana,Light Blue,Incense,Jasmine,5,Men,28,24.0
Paris Hilton,Fairy Dust,Musk,lotus,4,Men,29,371.0
Dolce & Gabbana,The Only One 2,AmberWoods,Coffee,5,Men,39,328.0
SWISS ARABIAN,Bakhoor Al Arais,Amber,Spicy,4,Men,22,156.0
Roberto Cavalli,Paradiso Assoluto,Cashmeran,WildJasmine,5,Men,21,101.0
MINI COLLECTION,Mini Collection No.1075,wood,vanilla,5,Men,31,268.0
HERMES,Terre D' Hermes,woodynotes,geranium,4,Men,33,171.0
DORALL COLLECTION,Oud Maaruf,patchouli,jasmin,4,Men,30,217.0
AIGNER,Debut Night,Cedar,Rose,3,Women,34,50.0
BURBERRY,Brit Rhythm Intense,Sandalwood,Amber,5,Men,33,110.0
HUGO BOSS,The Scent,RoastedCocoa,Lavender,4,Women,33,346.0
Guerlain,Samsara,TonkaBean,LusciousNarcissus,4,Men,25,92.0
S.T.Dupont,Essence Pure,Amber,Bamboo,3,Women,30,370.0
Ajmal,Teenz,Floral,Fruity,5,Men,31,218.0
Lattafa,Ana Abiyedh Leather,GuaiacWood,Cardamom,4,Women,21,15.0
BVLGARI,Aqva Marine Pour Homme,Amber,Rosemary,5,Men,27,273.0
Roberto Cavalli,Dupont,Benzoin,AfricanOrangeFlower,4,Men,32,302.0
MONTBLANC,Legend,Sandalwood,Rose,4,Women,32,268.0
Givenchy,L'Interdit,Vetiver,OrangeBlossom,5,Men,28,92.0
HERMES,Terre D' Hermes,cedar,geranium,5,Men,30,325.0
SWISS ARABIAN,Bakhoor Al Arais,PalisanderRosewood,Spicy,3,Women,20,221.0
S.T.Dupont,Essence Pure,Cedar,Rose,5,Men,29,161.0
Yves Saint Laurent,Body Kouros,Benzoin,Sage,3,Women,27,189.0
Givenchy,Play Intense,Vetyver,Coffee,5,Men,21,244.0
CARTIER,Declaration D'Un Soir,Sandalwood,Rose,4,Men,35,155.0
HUGO BOSS,Hugo,Patchouli,Jasmine,5,Men,28,224.0
HUGO BOSS,Hugo,Patchouli,Jasmine,4,Men,20,260.0
Guerlain,Habit Rouge,Vanilla,Sandalwood,4,Women,37,17.0
Estee Lauder,Private Collection,Musk,BulgarianRose,4,Men,30,10.0
Van Cleef & Arpels,First,Civet,OrrisRoot,5,Women,34,72.0
Elizabeth Taylor,White Diamonds,Musk,Jasmine,5,Women,40,20.0
Calvin Klein,Escape,Vanilla,Rose,4,Women,21,237.0
HUGO BOSS,Hugo,Patchouli,Sage,4,Men,38,266.0
BURBERRY,My Burberry Blush,Jasmine,Rosepetals,3,Men,33,228.0
Lattafa,Sheikh Shuyukh,Patchouli,Rosemary,5,Men,33,395.0
S.T.Dupont,Passenger,Benzoin,Lavender,3,Men,20,161.0
PACO RABANNE,1 Million,Leather,Rose,4,Men,26,294.0
BVLGARI,Rose Essentielle,Patchouli,JasmineTrace,3,Men,29,125.0
Guerlain,Santal Royal,Leathernote,Peach,3,Men,20,27.0
TED LAPIDUS,Creation,Jasmine,Tuberose,4,Men,32,30.0
Calvin Klein,Euphoria Intense,BurntAmber,Cedar,4,Men,20,57.0
Paris Hilton,Fairy Dust,Vanilla,Peach,3,Women,36,29.0
BURBERRY,For Women EDP Natural Sp,Musk,Sandalwood,4,Men,26,192.0
AIGNER,Debut Night,Vanilla,WaterLily,5,Men,24,21.0
VERSACE,Eros,WoodsyNotes,LemonBlossom,3,Men,22,46.0
Calvin Klein,Beauty,VirginiaCedar,Jasmine,5,Men,31,90.0
VERSACE,Eros,MadagascarVanilla,Geranium,4,Men,31,289.0
GUCCI,Rush 2,Oakmoss,PlamTree,3,Women,40,115.0
NINA RICCI,Premier Jour,WoodsyNotes,Gardenia,5,Women,27,246.0
S.T.Dupont,Passenger,LaotianBenzoin,Lavender,3,Women,40,366.0
Calvin Klein,Sheer Beauty Essence,Musk,Magnolia,4,Women,23,277.0
MINI COLLECTION,Eaudemoiselle No.1154,rose,cinnamon,3,Women,31,49.0
TESORI D´ORIENTE,Lotus Flower Aromatic Par,Vanilla,Jasmine,5,Women,25,299.0
Lattafa,Oud Mood Gold Elixir,Ambra,Agar,4,Men,35,167.0
GUESS,Homme,Musk,Vetiver,4,Women,21,245.0
GUCCI,Guilty,Amber,Lilac,3,Women,39,22.0
Dunhill,London,Musk,Rose,5,Men,30,244.0
DIESEL,Plus Plus Masculine,Musk,Sage,4,Women,34,384.0
LANVIN,Oxygene,Sandalwood,Gardenia,4,Women,20,394.0
Yves Saint Laurent,Body Kouros,Benzoin,ClarySage,4,Men,26,103.0
Roberto Cavalli,Uomo,Cedar,Honey,4,Women,29,293.0
GUCCI,Bloom Nettare Di Fiori,Patchoulie,Honeysuckle,4,Men,31,102.0
LANVIN,L'Homme Sport,Cedar,Cloves,4,Men,33,106.0
BURBERRY,The Beat,WhiteMusk,CeylonTea,3,Women,36,212.0
Calvin Klein,Escape,Oakmoss,Rosemary,4,Women,33,391.0
GUCCI,Bloom Nettare Di Fiori,Musk,Jasmine,3,Men,24,374.0
Roberto Cavalli,Dupont,Benzoin,AfricanOrangeFlower,5,Men,34,284.0
ESCADA,Magnetism,Vetiver,AlmondBlossom,5,Women,28,132.0
Ajmal,Teenz,Musky,Musky,3,Men,31,85.0
Estee Lauder,Pleasures,Sandalwood,Lilac,3,Women,22,190.0
Roberto Cavalli,Florence,Patchouli,HibiscusSeeds,4,Men,40,225.0
GIORGIO ARMANI,Eau Pour Homme Reno 2013,Sandalwood,Cloves,5,Men,38,234.0
JAGUAR,Classic Blue,Sandalwood,OrangeBlossom,4,Women,22,340.0
Dunhill,London,Musk,Rose,3,Women,27,335.0
jil sander,Jil Sander,Cedar,Patchouli,3,Men,22,189.0
Alina Corel,Monsieur Intense Gold,RareWood,Shepherd,5,Women,25,273.0
VERSACE,Dylan Blue,TonkaBeans,VioletLeaves,3,Women,26,26.0
DORALL COLLECTION,Blue Princess,Patchouli,Woody,4,Women,35,22.0
Calvin Klein,IN 2 U MEN,WhiteMusk,CacaoPod,5,Men,24,235.0
DAVIDOFF,Cool Water,Oakmoss,Jasmine,5,Women,40,358.0
Ajmal,Alf Laila O Laila,MuskyWoody,FloralSpicy,3,Men,31,359.0
HUGO BOSS,The Scent,Cacao,Osmanthus,4,Women,39,306.0
MONTBLANC,Legend,Sandalwood,Rose,5,Women,37,30.0
Calvin Klein,Sheer Beauty,Sandalwood,Jasmine,5,Men,33,211.0
BURBERRY,My Blush,Jasmine,Geranium,4,Men,40,133.0
DAVIDOFF,Cool Water,Oakmoss,Jasmine,5,Men,32,257.0
CARTIER,Declaration D'Un Soir,Sandalwood,Nutmeg,4,Women,35,85.0
ROGER & GALLET,Open,Tobacco,Thyme,3,Men,36,156.0
Roberto Cavalli,Women,TonkaBeans,OrangeTreeBlossom,4,Men,38,397.0
TRUSSARDI,Uomo,Patchouli,Geranium,4,Men,38,280.0
HERMES,Terre D' Hermes,cedar,geranium,5,Women,28,127.0
Yves Saint Laurent,La Nuit De L`Homme,Vetiver,Bergamot,4,Men,25,235.0
Aramis,900 Herbal Spray,OakmossVetiver,RoseGeranium,5,Women,24,312.0
Rasasi,Al Wisam Day,Oakmoss,Rose,5,Men,35,225.0
Revlon,Charlie Blue,AMixOfSandalwood,Jasmine,4,Men,25,348.0
GIORGIO ARMANI,Si Passione,Cedar,Jasmine,5,Men,34,282.0
Lattafa,Rouat Al Musk,Vanilla,Jasmine,3,Women,39,59.0
HERMES,Terre D' Hermes,woodynotes,geranium,5,Women,39,287.0
Calvin Klein,IN 2 U MEN,Vetiver,CacaoPod,4,Women,20,182.0
VERSACE,Crystal Noir,Sandalwood,Peony,4,Men,38,344.0
Van Cleef & Arpels,Ambre Imperial,WoodsyNotes,Amber,3,Women,38,32.0
KORLOFF,In White,VirginiaCedar,Lavender,4,Women,35,199.0
MONTBLANC,Legend Spirit,WhiteWoods,WaterNotes,5,Women,21,236.0
LOEWE,Esencia Pour Homme,Vetiver,Neroli,4,Women,20,188.0
Calvin Klein,CK One,Sandalwood,,5,Women,33,161.0
TRUSSARDI,My Land,Vetiver,Violet,3,Women,28,302.0
JAGUAR,Classic Red,Cedar,OzonicNotes,3,Women,31,316.0
Calvin Klein,One Shock,Patchouli,Jasmine,5,Men,33,149.0
CHLOE,Nomade,Patchoulli,Peach,5,Women,38,171.0
jennifer lopez,Live,TonkaBean,Violet,4,Women,33,185.0
VERSACE,Versace Pour Homme,Amber,ClarySage,4,Men,35,131.0
LANVIN,L'Homme,Sandalwood,mint,4,Men,39,267.0
BVLGARI,Man In Black,Benzoin,Tuberose,4,Women,25,296.0
Givenchy,L'interdit,Patchouli,Tuberose,3,Men,20,278.0
LACOSTE,Challenge,Nutmeg,Amber,5,Men,26,353.0
CARTIER,Santos D Concentree,Vanilla,Vetiver,3,Men,34,222.0
